record_type,identity,item_id,randomizable,stock_before,stock_after,empty_after,detail
summary,schema,,,,,,1
summary,rules,,,,,,2
summary,ground_pool_size,,,,,,580
summary,ground_pool_fingerprint,,,,,,34cb6876416fd5f8
summary,tm_pool_size,,,,,,124
summary,tm_pool_fingerprint,,,,,,b1a98fd1257989a5
summary,result_ban_fingerprint,,,,,,60436121d1dcab8f
ground_pool,,ABILITYBALL,,,,,
ground_pool,,ABILITYCAPSULE,,,,,
ground_pool,,ABILITYURGE,,,,,
ground_pool,,ABSORBBULB,,,,,
ground_pool,,ADAMANTORB,,,,,
ground_pool,,ADRENALINEORB,,,,,
ground_pool,,AGUAVBERRY,,,,,
ground_pool,,AIRBALLOON,,,,,
ground_pool,,AMULETCOIN,,,,,
ground_pool,,ANTIDOTE,,,,,
ground_pool,,APICOTBERRY,,,,,
ground_pool,,ARMORFOSSIL,,,,,
ground_pool,,ASPEARBERRY,,,,,
ground_pool,,ASSAULTVEST,,,,,
ground_pool,,AWAKENING,,,,,
ground_pool,,BABIRIBERRY,,,,,
ground_pool,,BALMMUSHROOM,,,,,
ground_pool,,BANANA,,,,,
ground_pool,,BEER,,,,,
ground_pool,,BELLSPROUTSTATUE,,,,,
ground_pool,,BELUEBERRY,,,,,
ground_pool,,BERRYJUICE,,,,,
ground_pool,,BIGMUSHROOM,,,,,
ground_pool,,BIGNUGGET,,,,,
ground_pool,,BIGPEARL,,,,,
ground_pool,,BIGROOT,,,,,
ground_pool,,BINDINGBAND,,,,,
ground_pool,,BLACKBELT,,,,,
ground_pool,,BLACKFLUTE,,,,,
ground_pool,,BLACKGLASSES,,,,,
ground_pool,,BLACKSLUDGE,,,,,
ground_pool,,BLUEFLUTE,,,,,
ground_pool,,BLUENECTAR,,,,,
ground_pool,,BLUESCARF,,,,,
ground_pool,,BLUESHARD,,,,,
ground_pool,,BLUKBERRY,,,,,
ground_pool,,BRIGHTPOWDER,,,,,
ground_pool,,BUGGEM,,,,,
ground_pool,,BURNDRIVE,,,,,
ground_pool,,BURNHEAL,,,,,
ground_pool,,CALCIUM,,,,,
ground_pool,,CANDYBALL,,,,,
ground_pool,,CARBOS,,,,,
ground_pool,,CASTELIACONE,,,,,
ground_pool,,CELLBATTERY,,,,,
ground_pool,,CHARCOAL,,,,,
ground_pool,,CHARTIBERRY,,,,,
ground_pool,,CHERIBERRY,,,,,
ground_pool,,CHERISHBALL,,,,,
ground_pool,,CHESTOBERRY,,,,,
ground_pool,,CHILANBERRY,,,,,
ground_pool,,CHILLDRIVE,,,,,
ground_pool,,CHOICEBAND,,,,,
ground_pool,,CHOICESCARF,,,,,
ground_pool,,CHOICESPECS,,,,,
ground_pool,,CHOPLEBERRY,,,,,
ground_pool,,CLAWFOSSIL,,,,,
ground_pool,,CLEANSETAG,,,,,
ground_pool,,CLEVERWING,,,,,
ground_pool,,COBABERRY,,,,,
ground_pool,,COFFEE,,,,,
ground_pool,,COLBURBERRY,,,,,
ground_pool,,COMETSHARD,,,,,
ground_pool,,CORNNBERRY,,,,,
ground_pool,,CUSTAPBERRY,,,,,
ground_pool,,DAMPMULCH,,,,,
ground_pool,,DAMPROCK,,,,,
ground_pool,,DARKGEM,,,,,
ground_pool,,DAWNSTONE,,,,,
ground_pool,,DEEPSEASCALE,,,,,
ground_pool,,DEEPSEATOOTH,,,,,
ground_pool,,DESTINYKNOT,,,,,
ground_pool,,DIAMOND,,,,,
ground_pool,,DIAMONDNECKLACE,,,,,
ground_pool,,DIREHIT,,,,,
ground_pool,,DIREHIT2,,,,,
ground_pool,,DIREHIT3,,,,,
ground_pool,,DIVEBALL,,,,,
ground_pool,,DOMEFOSSIL,,,,,
ground_pool,,DOUSEDRIVE,,,,,
ground_pool,,DRACOPLATE,,,,,
ground_pool,,DRAGONFANG,,,,,
ground_pool,,DRAGONGEM,,,,,
ground_pool,,DRAGONSCALE,,,,,
ground_pool,,DREADPLATE,,,,,
ground_pool,,DREAMBALL,,,,,
ground_pool,,DUBIOUSDISC,,,,,
ground_pool,,DURINBERRY,,,,,
ground_pool,,DUSKBALL,,,,,
ground_pool,,DUSKSTONE,,,,,
ground_pool,,EARTHPLATE,,,,,
ground_pool,,EJECTBUTTON,,,,,
